DateTime,平均價,新北市_氣壓,臺中市_氣壓,臺南市_氣壓,高雄市_氣壓,桃園市_氣壓,新竹縣_氣壓,苗栗縣_氣壓,南投縣_氣壓,彰化縣_氣壓,雲林縣_氣壓,嘉義市_氣壓,屏東縣_氣壓,宜蘭縣_氣壓,花蓮縣_氣壓,臺東縣_氣壓,color,x,y
2015-01-01,34.755555555555546,993.4,1012.8,1021.1,1021.9,1020.1,1009.3,1016.1,999.9,1019.1,893.3999999999999,1019.5,1020.6,1027.9,1009.0,1024.5,"rgb(153,255,102)",0,102
2015-01-02,33.08888888888888,992.1,1013.5,1022.2,1022.9,1018.5,1008.3,1015.9,1000.7,1019.8,893.6999999999998,1020.4,1021.0,1026.9,1009.1,1024.8,"rgb(153,254,102)",1,102
2015-01-03,32.03333333333333,988.1,1011.4,1020.0,1020.8,1014.6,1005.4,1013.2,998.7,1017.5,892.5,1018.1,1018.5,1022.5,1005.5,1021.6,"rgb(141,230,114)",25,114
2015-01-04,31.81111111111111,983.7,1007.5,1015.7,1016.4,1010.6,1001.7,1009.4,995.1,1013.6,889.8999999999999,1014.1,1014.4,1017.3,1001.1,1017.0,"rgb(135,211,120)",44,120
2015-01-05,40.0,981.9,1005.2,1013.2,1014.3,1008.4,999.4,1007.1,992.8,1011.3,889.0,1011.7,1012.5,1015.1,999.1,1014.8,"rgb(170,175,85)",80,85
2015-01-06,28.725,982.1,1004.5,1012.6,1013.6,1008.5,999.2,1006.7,992.3,1010.9,888.8000000000002,1011.2,1011.7,1014.8,998.1,1013.8,"rgb(160,175,95)",80,95
2015-01-07,28.655555555555548,987.5,1008.4,1016.5,1017.0,1014.8,1004.9,1012.0,995.9,1015.0,890.8999999999999,1015.2,1014.9,1020.9,1002.7,1017.7,"rgb(150,228,105)",27,105
2015-01-08,29.61111111111111,992.8,1013.0,1021.4,1021.9,1019.8,1009.4,1016.4,1000.2,1019.3,893.3000000000002,1019.9,1019.9,1027.1,1008.4,1023.8,"rgb(151,254,104)",1,104
2015-01-09,28.366666666666664,991.3,1013.0,1021.5,1022.3,1017.9,1008.1,1015.6,1000.3,1019.3,893.6000000000001,1019.8,1020.6,1025.7,1008.2,1023.8,"rgb(154,248,101)",7,101
2015-01-10,27.53333333333333,990.4,1012.2,1020.9,1021.7,1016.9,1006.8,1014.4,999.6,1018.6,893.3000000000002,1019.2,1019.6,1024.7,1007.1,1022.7,"rgb(154,240,101)",15,101
2015-01-11,23.64,990.3,1011.0,1019.4,1020.4,1016.1,1005.7,1013.2,998.4,1017.2,893.1000000000001,1017.7,1018.3,1024.6,1006.9,1022.1,"rgb(150,238,105)",17,105
2015-01-12,31.0,990.6,1009.6,1018.0,1019.2,1015.5,1004.1,1011.6,997.2,1015.9,892.2,1016.4,1017.7,1025.1,1008.1,1023.3,"rgb(164,227,91)",28,91
2015-01-13,24.72222222222223,984.5,1007.3,1015.7,1016.5,1009.9,1001.1,1009.0,994.8,1013.5,889.6000000000001,1014.1,1014.7,1018.8,1003.5,1019.2,"rgb(147,202,108)",53,108
2015-01-14,21.79,986.3,1008.8,1016.5,1016.9,1013.8,1004.4,1011.6,996.2,1015.0,890.3999999999999,1015.3,1014.4,1018.5,1001.3,1016.6,"rgb(147,206,108)",49,108
2015-01-15,22.94,988.9,1010.1,1018.8,1019.5,1015.8,1005.7,1013.1,997.6,1016.5,892.1000000000001,1017.1,1017.3,1023.0,1005.3,1020.6,"rgb(147,239,108)",16,108
2015-01-16,24.333333333333336,988.4,1011.1,1019.5,1020.2,1015.5,1006.0,1013.6,998.5,1017.4,892.6000000000001,1017.9,1018.0,1022.2,1004.8,1020.4,"rgb(146,234,109)",21,109
2015-01-17,22.89,991.9,1011.8,1020.4,1021.1,1018.4,1007.5,1014.9,999.1,1018.1,892.8,1018.7,1019.3,1026.2000000000003,1007.9,1023.1,"rgb(151,252,104)",3,104
2015-01-18,22.08,989.2,1011.4,1019.9,1020.7,1016.1,1006.0,1013.7,998.6,1017.6,892.1000000000001,1018.1,1018.5,1023.3,1005.8,1021.2,"rgb(145,240,110)",15,110
2015-01-19,30.7,989.6,1009.3,1017.9,1019.0,1015.5,1004.5,1012.1,996.7,1015.6,890.7,1016.2,1016.5,1024.0,1005.8,1020.9,"rgb(150,243,105)",12,105
2015-01-20,22.74,986.4,1009.3,1017.6,1018.6,1012.4,1003.3,1011.1,996.8,1015.5,891.3,1016.0,1016.6,1020.6,1003.9,1019.5,"rgb(135,217,120)",38,120
2015-01-21,21.575,985.4,1008.7,1016.7,1017.3,1012.9,1003.7,1011.2,996.2,1015.0,890.8000000000002,1015.3,1015.3,1018.0,1000.9,1016.7,"rgb(137,202,118)",53,118
2015-01-22,21.222222222222225,987.7,1010.5,1018.4,1018.9,1015.2,1005.8,1013.1,997.8,1016.6,891.3000000000002,1017.0,1016.9,1021.3,1003.6,1019.3,"rgb(139,232,116)",23,116
2015-01-23,21.366666666666667,987.8,1010.6,1019.0,1019.9,1014.4,1004.9,1012.6,997.9,1016.5,891.6000000000001,1017.2,1018.3,1022.4,1005.2,1021.3,"rgb(140,235,115)",20,115
2015-01-24,20.67777777777778,987.2,1011.0,1019.3,1020.3,1014.0,1005.0,1012.7,998.4,1017.0,892.3999999999999,1017.6,1018.7,1021.5,1005.9,1022.1,"rgb(136,228,119)",27,119
2015-01-25,20.444444444444443,986.1,1009.8,1017.9,1018.9,1013.1,1004.0,1011.8,997.3,1015.9,892.3999999999999,1016.4,1017.5,1019.8,1004.6,1020.6,"rgb(132,214,123)",41,123
2015-01-26,23.0,985.3,1008.7,1016.5,1017.3,1012.4,1003.3,1010.9,996.3,1014.8,891.2,1015.2,1015.5,1018.4,1001.8,1017.7,"rgb(136,201,119)",54,119
2015-01-27,18.677777777777774,984.8,1006.8,1014.8,1015.8,1011.9,1001.8,1009.3,994.4,1013.0,889.3999999999999,1013.3,1013.6,1018.3,1000.4,1015.7,"rgb(162,210,93)",45,93
