DateTime,平均價,新北市_氣壓,臺中市_氣壓,臺南市_氣壓,高雄市_氣壓,桃園市_氣壓,新竹縣_氣壓,苗栗縣_氣壓,南投縣_氣壓,彰化縣_氣壓,雲林縣_氣壓,嘉義市_氣壓,屏東縣_氣壓,宜蘭縣_氣壓,花蓮縣_氣壓,臺東縣_氣壓,color,x,y
2017-01-01,96.536,987.0,1010.3,1018.7,1019.9,1012.1,1004.5,1012.3,997.6,1017.3,893.9,1016.7,1017.8,1021.2,1004.8,1021.2,"rgb(40,222,215)",33,215
2017-01-02,48.5,985.6,1009.4,1017.7,1018.7,1011.8,1004.0,1011.5,996.8,1016.6,893.0,1015.8,1016.7,1019.1,1002.5,1018.9,"rgb(83,112,172)",143,172
2017-01-03,96.38799999999999,985.9,1008.6,1017.0,1018.2,1011.5,1003.3,1011.0,996.1,1015.8,892.5,1015.0,1016.2,1019.3,1002.3,1018.7,"rgb(43,227,212)",28,212
2017-01-04,89.86,983.8,1007.5,1015.8,1017.1,1009.1,1001.7,1009.2,995.0,1014.6,891.5,1013.9,1015.1,1017.4,1001.2,1017.7,"rgb(33,221,222)",34,222
2017-01-05,74.88333333333334,982.1,1006.6,1014.8,1015.8,1008.3,1000.8,1008.4,994.1,1013.8,890.8000000000002,1012.9,1013.9,1015.0,998.9,1015.7,"rgb(29,215,226)",40,226
2017-01-06,80.2,981.4,1005.4,1013.7,1014.6,1007.6,999.9,1007.6,992.8,1012.6,889.6,1011.8,1012.8,1014.5,997.8,1014.4,"rgb(35,221,220)",34,220
2017-01-07,83.26666666666667,979.1,1003.5,1011.7,1012.8,1005.3,997.8,1005.5,991.0,1010.6,888.3000000000002,1009.8,1011.0,1011.8,995.8,1012.4,"rgb(29,218,226)",37,226
2017-01-08,95.465,980.1,1002.8,1010.8,1011.9,1006.1,998.1,1005.4,990.4,1009.8,887.9,1009.0,1010.1,1012.9,995.8,1011.8,"rgb(30,219,225)",36,225
2017-01-09,47.2,984.1,1005.0,1013.4,1014.3,1009.9,1001.3,1008.4,992.3,1012.2,889.2,1011.4,1012.6,1018.0,999.9,1015.8,"rgb(106,120,149)",135,149
2017-01-10,78.74,985.7,1007.8,1016.1,1017.0,1011.3,1003.0,1010.6,995.0,1015.0,891.1,1014.2,1015.1,1019.8,1002.1,1018.3,"rgb(53,211,202)",44,202
